"Sample","Population","Country","Region"
"ERR586239","ESEA","Cambodia","Asia"
"ERR586244","ESEA","Cambodia","Asia"
"ERR586257","ESEA","Cambodia","Asia"
"ERR590415","WAF","Ghana","Africa"
"ERR590418","WAF","Ghana","Africa"
"ERR590422","WAF","Ghana","Africa"
"ERR590424","WAF","Ghana","Africa"
"ERR590429","WAF","Ghana","Africa"
"ERR590430","WAF","Ghana","Africa"
"ERR590431","WAF","Ghana","Africa"
"ERR590435","WAF","Ghana","Africa"
"ERR590438","ESEA","Cambodia","Asia"
"ERR590442","ESEA","Cambodia","Asia"
"ERR590449","ESEA","Cambodia","Asia"
"ERR590450","ESEA","Cambodia","Asia"
"ERR590455","ESEA","Cambodia","Asia"
"ERR590460","ESEA","Cambodia","Asia"
"ERR590461","ESEA","Cambodia","Asia"
"ERR590469","ESEA","Cambodia","Asia"
"ERR590482","ESEA","Cambodia","Asia"
"ERR590484","ESEA","Cambodia","Asia"
"ERR590489","WAF","Guinea","Africa"
"ERR590497","WAF","Guinea","Africa"
"ERR590499","WAF","Guinea","Africa"
"ERR590509","WAF","Guinea","Africa"
"ERR590511","WAF","Guinea","Africa"
"ERR590513","WAF","Guinea","Africa"
"ERR590515","WAF","Guinea","Africa"
"ERR590516","WAF","Guinea","Africa"
"ERR590524","WAF","Guinea","Africa"
"ERR590525","WAF","Guinea","Africa"
"ERR590526","WAF","Guinea","Africa"
"ERR590536","EAF","Madagascar","Africa"
"ERR590538","EAF","Madagascar","Africa"
"ERR590541","EAF","Madagascar","Africa"
"ERR590544","SAM","Peru","SAM"
"ERR590545","SAM","Peru","SAM"
"ERR590546","SAM","Peru","SAM"
"ERR590548","SAM","Peru","SAM"
"ERR590549","SAM","Peru","SAM"
"ERR590550","SAM","Peru","SAM"
"ERR590551","SAM","Peru","SAM"
"ERR590552","SAM","Peru","SAM"
"ERR590553","SAM","Peru","SAM"
"ERR590554","SAM","Peru","SAM"
"ERR596088","WSEA","Thailand","Asia"
"ERR596089","WSEA","Thailand","Asia"
"ERR596090","WSEA","Thailand","Asia"
"ERR596091","WSEA","Thailand","Asia"
"ERR596092","WSEA","Thailand","Asia"
"ERR596095","WSEA","Thailand","Asia"
"ERR596096","WSEA","Thailand","Asia"
"ERR596099","WSEA","Thailand","Asia"
"ERR596100","WSEA","Thailand","Asia"
"ERR596101","WSEA","Thailand","Asia"
"ERR596103","WSEA","Thailand","Asia"
"ERR596105","WSEA","Thailand","Asia"
"ERR596106","WSEA","Thailand","Asia"
"ERR596107","WSEA","Thailand","Asia"
"ERR596108","WSEA","Thailand","Asia"
"ERR596110","WSEA","Thailand","Asia"
"ERR596113","WSEA","Thailand","Asia"
"ERR596116","WSEA","Thailand","Asia"
"ERR596118","WSEA","Thailand","Asia"
"ERR596119","WSEA","Thailand","Asia"
"ERR596121","WSEA","Thailand","Asia"
"ERR596122","WSEA","Thailand","Asia"
"ERR596123","WSEA","Thailand","Asia"
"ERR596125","WSEA","Thailand","Asia"
"ERR596126","WSEA","Thailand","Asia"
"ERR596127","WSEA","Thailand","Asia"
"ERR596129","WSEA","Thailand","Asia"
"ERR596130","WSEA","Thailand","Asia"
"ERR596131","WSEA","Thailand","Asia"
"ERR596132","WSEA","Thailand","Asia"
"ERR596133","WSEA","Thailand","Asia"
"ERR596134","WSEA","Thailand","Asia"
"ERR596135","WSEA","Thailand","Asia"
"ERR596137","WSEA","Thailand","Asia"
"ERR596138","WSEA","Thailand","Asia"
"ERR596139","WSEA","Thailand","Asia"
"ERR596140","WSEA","Thailand","Asia"
"ERR596141","WSEA","Thailand","Asia"
"ERR596142","WSEA","Thailand","Asia"
"ERR596143","WSEA","Thailand","Asia"
"ERR596145","WSEA","Thailand","Asia"
"ERR596147","WSEA","Thailand","Asia"
"ERR596148","WSEA","Thailand","Asia"
"ERR596151","WSEA","Thailand","Asia"
"ERR596152","WSEA","Thailand","Asia"
"ERR596157","WSEA","Thailand","Asia"
"ERR596158","WSEA","Thailand","Asia"
"ERR596160","WSEA","Thailand","Asia"
"ERR596161","WSEA","Thailand","Asia"
"ERR596162","WSEA","Thailand","Asia"
"ERR596164","WSEA","Thailand","Asia"
"ERR596165","WSEA","Thailand","Asia"
"ERR596166","WSEA","Thailand","Asia"
"ERR596167","WSEA","Thailand","Asia"
"ERR596168","WSEA","Thailand","Asia"
"ERR596170","WSEA","Thailand","Asia"
"ERR596171","WSEA","Thailand","Asia"
"ERR596173","WSEA","Thailand","Asia"
"ERR596174","WSEA","Thailand","Asia"
"ERR596175","WSEA","Thailand","Asia"
"ERR596176","WSEA","Thailand","Asia"
"ERR636010","WAF","IvoryCoast","Africa"
"ERR636011","WAF","IvoryCoast","Africa"
"ERR636012","WAF","IvoryCoast","Africa"
"ERR636014","WAF","IvoryCoast","Africa"
"ERR636017","WAF","IvoryCoast","Africa"
"ERR636018","WAF","IvoryCoast","Africa"
"ERR636020","WAF","IvoryCoast","Africa"
"ERR636021","WAF","IvoryCoast","Africa"
"ERR636022","WAF","IvoryCoast","Africa"
"ERR636024","WAF","IvoryCoast","Africa"
"ERR636025","WAF","IvoryCoast","Africa"
"ERR636026","WAF","IvoryCoast","Africa"
"ERR636027","WAF","IvoryCoast","Africa"
"ERR636028","WAF","IvoryCoast","Africa"
"ERR636029","WAF","Ghana","Africa"
"ERR636030","WAF","Ghana","Africa"
"ERR636033","WAF","Ghana","Africa"
"ERR636035","WAF","Ghana","Africa"
"ERR636037","WAF","Ghana","Africa"
"ERR636039","WAF","Ghana","Africa"
"ERR636041","WAF","Ghana","Africa"
"ERR636043","WAF","Ghana","Africa"
"ERR636048","WAF","Ghana","Africa"
"ERR636051","WAF","Ghana","Africa"
"ERR636052","WAF","Ghana","Africa"
"ERR636053","WAF","Ghana","Africa"
"ERR636054","WAF","Ghana","Africa"
"ERR636055","WAF","Ghana","Africa"
"ERR636056","WAF","Ghana","Africa"
"ERR636060","WAF","Ghana","Africa"
"ERR636061","WAF","Ghana","Africa"
"ERR636062","WAF","Ghana","Africa"
"ERR636064","WAF","Ghana","Africa"
"ERR636067","WAF","Ghana","Africa"
"ERR636068","WAF","Ghana","Africa"
"ERR636070","WAF","Ghana","Africa"
"ERR636071","WAF","Ghana","Africa"
"ERR636072","WAF","Ghana","Africa"
"ERR636075","WAF","Ghana","Africa"
"ERR636076","WAF","Ghana","Africa"
"ERR636077","WAF","Ghana","Africa"
"ERR636079","WAF","Ghana","Africa"
"ERR636080","WAF","Ghana","Africa"
"ERR636081","WAF","Ghana","Africa"
"ERR636085","WAF","Ghana","Africa"
"ERR636086","WAF","Ghana","Africa"
"ERR636087","WAF","Ghana","Africa"
"ERR636089","WAF","Ghana","Africa"
"ERR636090","WAF","Ghana","Africa"
"ERR636092","WAF","Ghana","Africa"
"ERR636094","WAF","Ghana","Africa"
"ERR636096","WAF","Ghana","Africa"
"ERR636098","WAF","Ghana","Africa"
"ERR636100","WAF","Ghana","Africa"
"ERR636102","WAF","Ghana","Africa"
"ERR636103","WAF","Ghana","Africa"
"ERR636105","WAF","Ghana","Africa"
"ERR636106","WAF","Ghana","Africa"
"ERR636175","WAF","Mali","Africa"
"ERR636179","WAF","Mali","Africa"
"ERR636180","WAF","Mali","Africa"
"ERR636181","WAF","Mali","Africa"
"ERR636182","WAF","Mali","Africa"
"ERR636185","WAF","Mali","Africa"
"ERR636186","WAF","Mali","Africa"
"ERR636187","WAF","Mali","Africa"
"ERR636189","WAF","Mali","Africa"
"ERR636190","WAF","Mali","Africa"
"ERR636191","WAF","Mali","Africa"
"ERR636192","WAF","Mali","Africa"
"ERR636197","WAF","Mali","Africa"
"ERR636200","WAF","Mali","Africa"
"ERR636203","WAF","Mali","Africa"
"ERR636204","WAF","Mali","Africa"
"ERR636205","WAF","Mali","Africa"
"ERR636206","WAF","Mali","Africa"
"ERR636207","WAF","Mali","Africa"
"ERR636208","WAF","Mali","Africa"
"ERR636209","WAF","Mali","Africa"
"ERR636211","WAF","Mali","Africa"
"ERR636212","WAF","Mali","Africa"
"ERR636216","WAF","Mali","Africa"
"ERR636218","WAF","Mali","Africa"
"ERR636224","WAF","Mali","Africa"
"ERR636240","WAF","Mali","Africa"
"ERR636260","WAF","Ghana","Africa"
"ERR636262","WAF","Ghana","Africa"
"ERR636263","WAF","Ghana","Africa"
"ERR636265","WAF","Ghana","Africa"
"ERR636267","WAF","Ghana","Africa"
"ERR636268","WAF","Ghana","Africa"
"ERR636269","WAF","Ghana","Africa"
"ERR636270","WAF","Mali","Africa"
"ERR636273","WAF","Mali","Africa"
"ERR636275","WAF","Mali","Africa"
"ERR636276","WAF","Mali","Africa"
"ERR636280","WAF","Mali","Africa"
"ERR636282","WAF","Mali","Africa"
"ERR636283","WAF","Mali","Africa"
"ERR636286","WAF","Mali","Africa"
"ERR636288","WAF","Mali","Africa"
"ERR636289","WAF","Mali","Africa"
"ERR636294","WAF","Mali","Africa"
"ERR636295","WAF","Mali","Africa"
"ERR636296","WAF","Mali","Africa"
"ERR636297","WAF","Mali","Africa"
"ERR636298","WAF","Mali","Africa"
"ERR636300","WAF","Mali","Africa"
"ERR636306","WAF","Mali","Africa"
"ERR636307","WAF","Mali","Africa"
"ERR636309","WAF","Mali","Africa"
"ERR636311","WAF","Mali","Africa"
"ERR636312","WAF","Mali","Africa"
"ERR636315","WAF","Mali","Africa"
"ERR636317","WAF","Mali","Africa"
"ERR636318","WAF","Mali","Africa"
"ERR636319","WAF","Mali","Africa"
"ERR636320","WAF","Mali","Africa"
"ERR636322","WAF","Mali","Africa"
"ERR636325","WAF","Mali","Africa"
"ERR636326","WAF","Mali","Africa"
"ERR636327","WAF","Mali","Africa"
"ERR636332","WAF","Mali","Africa"
"ERR636423","WAF","IvoryCoast","Africa"
"ERR636424","WAF","IvoryCoast","Africa"
"ERR636425","WAF","IvoryCoast","Africa"
"ERR636428","WAF","IvoryCoast","Africa"
"ERR636429","WAF","IvoryCoast","Africa"
"ERR636431","WAF","IvoryCoast","Africa"
"ERR636432","WAF","IvoryCoast","Africa"
"ERR636434","WAF","IvoryCoast","Africa"
"ERR636435","WAF","IvoryCoast","Africa"
"ERR636436","WAF","IvoryCoast","Africa"
"ERR636438","WAF","IvoryCoast","Africa"
"ERR636439","WAF","IvoryCoast","Africa"
"ERR636440","WAF","IvoryCoast","Africa"
"ERR636442","WAF","IvoryCoast","Africa"
"ERR636445","WAF","IvoryCoast","Africa"
"ERR636446","WAF","IvoryCoast","Africa"
"ERR636448","WAF","IvoryCoast","Africa"
"ERR636452","WAF","IvoryCoast","Africa"
"ERR636453","WAF","IvoryCoast","Africa"
"ERR636454","WAF","IvoryCoast","Africa"
"ERR636457","WAF","IvoryCoast","Africa"
"ERR636459","WAF","IvoryCoast","Africa"
"ERR636461","WAF","IvoryCoast","Africa"
"ERR636462","WAF","IvoryCoast","Africa"
"ERR636463","WAF","IvoryCoast","Africa"
"ERR636466","WAF","IvoryCoast","Africa"
"ERR636469","WAF","IvoryCoast","Africa"
"ERR636470","WSEA","Thailand","Asia"
"ERR636472","WSEA","Thailand","Asia"
"ERR636474","WSEA","Thailand","Asia"
"ERR636475","WSEA","Thailand","Asia"
"ERR636476","WSEA","Thailand","Asia"
"ERR636478","WSEA","Thailand","Asia"
"ERR636479","WSEA","Thailand","Asia"
"ERR636481","WSEA","Thailand","Asia"
"ERR636485","WSEA","Thailand","Asia"
"ERR636487","WSEA","Thailand","Asia"
"ERR636488","WSEA","Thailand","Asia"
"ERR636492","WSEA","Thailand","Asia"
"ERR636496","WSEA","Thailand","Asia"
"ERR636497","WSEA","Thailand","Asia"
"ERR636498","WSEA","Thailand","Asia"
"ERR636500","WSEA","Thailand","Asia"
"ERR636501","WSEA","Thailand","Asia"
"ERR636502","WSEA","Thailand","Asia"
