"Sample","PC1","PC2","PC3","Sample_id","Country","Year","Country_Origin"
"SRR1568183",-20.1325156238086,8.73257122122171,-0.437313307780255,"DTS_0830","Peru",NA,"Peru"
"SRR1568186",17.5251370795643,-1.71947780374854,4.9073954791213,"Thailand_VKTS-36","Thailand",2012,"Thailand"
"SRR1568191",-21.0269998169112,14.8326483941725,2.32462159106736,"Peru00692","Peru",2011,"Peru"
"SRR1568192",-15.5192067335263,4.98794800092463,-3.58082895674252,"Brazil32","Brazil",2011,"Brazil"
"SRR1568195",-19.6545460062855,8.89864353249009,-0.135400682113743,"Peru858","Peru",NA,"Peru"
"SRR1568196",-20.7437788007489,5.59335875788544,0.0804515606940425,"Peru260","Peru",2013,"Peru"
"SRR1568201",-18.8719336957245,-0.251155500737428,0.272025564331578,"Mexico_12400","Mexico",2000,"Mexico"
"SRR1568204",11.5168119493354,0.116458808467974,3.90948443553168,"Myanmar_LZCH-13","Myanmar",NA,"Myanmar"
"SRR1568205",16.9792567883075,0.332143415195419,3.38570755436744,"Thailand_VKTS-52","Thailand",2013,"Thailand"
"SRR1568206",-16.2896128741091,6.15944516689223,-0.0711430225376739,"Peru1008","Peru",2010,"Peru"
"SRR1568207",-19.9988333381257,4.9569707598937,1.63040588497661,"Colombia_30102100445","Colombia",2012,"Colombia"
"SRR1568208",17.2918208220625,-0.431779455479592,1.84665938694003,"Thailand_VKTS-39","Thailand",2012,"Thailand"
"SRR1568211",-17.5947563661332,8.0047278821432,-0.178050777685635,"Peru06","Peru",NA,"Peru"
"SRR1568213",-18.7751768646744,4.18697237000817,0.287901976027851,"Colombia_30102100485","Colombia",2013,"Colombia"
"SRR1568216",-20.1996313461091,12.7409858481337,1.9192945371218,"Peru00699","Peru",2011,"Peru"
"SRR1568218",-25.7025519628591,-28.4264211353896,1.21306295186299,"Mexico_2003","Mexico",2003,"Mexico"
"SRR1568219",-24.6611905729984,-24.3806097378687,0.731066460949478,"Mexico_15502","Mexico",2002,"Mexico"
"SRR1568221",-19.2919248999247,0.868127223372329,1.07511968768208,"Colombia_30101099040","Colombia",2012,"Colombia"
"SRR1568223",-17.8346647122474,0.26679717733191,-0.600519895429244,"Mexico_8301","Mexico",2001,"Mexico"
"SRR1568225",-26.2171362404759,-31.8725089609432,1.18819950554016,"Mexico_3902","Mexico",2002,"Mexico"
"SRR1568227",-21.5243065598095,7.60429096859926,0.84894096356364,"Colombia_30102100438-A","Colombia",2012,"Colombia"
"SRR1568229",15.4067318770043,1.05463791007918,2.72178602346422,"Thailand_VKBT-99","Thailand",2013,"Thailand"
"SRR1568230",-18.9397824830159,3.60524655173435,0.293065385764105,"Colombia_30102100440","Colombia",2012,"Colombia"
"SRR1568231",-25.1601397321191,-28.2840964327556,0.300673707573499,"Mexico_5002","Mexico",2002,"Mexico"
"SRR1568235",-19.7660268632693,1.24582869549354,0.529153039924346,"Colombia_30111110020","Colombia",2013,"Colombia"
"SRR1568236",-17.9224823301854,2.13487129312297,1.99283641954747,"Colombia_30103103280","Colombia",2013,"Colombia"
"SRR1568787",-17.6901853516741,19.6889553283906,-0.645802919420379,"Peru3270_D59","Peru",2013,"Peru"
"SRR1573226",-21.1074401312889,3.76939470397885,0.502717539526205,"Colombia_30101099036","Colombia",2012,"Colombia"
